Repository Owner,Repository Name,Repository Star Count,Repository URL
bregman-arie,devops-exercises,57600,https://github.com/bregman-arie/devops-exercises
localstack,localstack,48300,https://github.com/localstack/localstack
serverless,serverless,45100,https://github.com/serverless/serverless
donnemartin,data-science-ipython-notebooks,25500,https://github.com/donnemartin/data-science-ipython-notebooks
sst,sst,17500,https://github.com/sst/sst
pulumi,pulumi,17300,https://github.com/pulumi/pulumi
kubernetes-sigs,kubespray,14400,https://github.com/kubernetes-sigs/kubespray
ramitsurana,awesome-kubernetes,14100,https://github.com/ramitsurana/awesome-kubernetes
aws,aws-cli,14100,https://github.com/aws/aws-cli
getsops,sops,13700,https://github.com/getsops/sops
donnemartin,awesome-aws,11700,https://github.com/donnemartin/awesome-aws
caprover,caprover,10900,https://github.com/caprover/caprover
GoogleCloudPlatform,terraformer,10700,https://github.com/GoogleCloudPlatform/terraformer
aws,aws-cdk,10600,https://github.com/aws/aws-cdk
apereo,cas,10300,https://github.com/apereo/cas
aws,chalice,9900,https://github.com/aws/chalice
infracost,infracost,9500,https://github.com/infracost/infracost
aws-amplify,amplify-js,9300,https://github.com/aws-amplify/amplify-js
google,go-cloud,9200,https://github.com/google/go-cloud
aws,serverless-application-model,9100,https://github.com/aws/serverless-application-model
