Repository Owner,Repository Name,Repository Star Count,Repository URL
localstack,localstack,48300,https://github.com/localstack/localstack
harness,drone,27200,https://github.com/harness/drone
jenkinsci,jenkins,21400,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,12700,https://github.com/auchenberg/volkswagen
theonedev,onedev,11500,https://github.com/theonedev/onedev
dagger,dagger,8900,https://github.com/dagger/dagger
openshift,origin,8400,https://github.com/openshift/origin
concourse,concourse,7000,https://github.com/concourse/concourse
gocd,gocd,6900,https://github.com/gocd/gocd
milanm,DevOps-Roadmap,5900,https://github.com/milanm/DevOps-Roadmap
gaia-pipeline,gaia,5100,https://github.com/gaia-pipeline/gaia
buildbot,buildbot,5100,https://github.com/buildbot/buildbot
Strider-CD,strider,4600,https://github.com/Strider-CD/strider
jenkins-x,jx,4400,https://github.com/jenkins-x/jx
ovh,cds,4300,https://github.com/ovh/cds
xcpretty,xcpretty,3900,https://github.com/xcpretty/xcpretty
JamesIves,github-pages-deploy-action,3800,https://github.com/JamesIves/github-pages-deploy-action
iterative,cml,3800,https://github.com/iterative/cml
hygieia,hygieia,3800,https://github.com/hygieia/hygieia
werf,werf,3700,https://github.com/werf/werf
